,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,Half,02. Situation Type,04. Rating,03. Outcomes,01. Phase
130,131,1,2190.5437146994595,2268.0452767834595,O4 Finishing,O4 Finishing,1st Half,Back Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",Corner Kick
131,132,1,2240.2424277834593,2257.2424277834593,off corner,,1st Half,,,,
132,133,1,2268.7445029501255,2281.309606866793,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
133,134,1,2277.341982491792,2289.576091116793,O2 Build Up,O2 Build Up,1st Half,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,
134,135,1,2286.5775168664595,2314.14526861646,D3 High Pressing,,1st Half,After Ball Loss,Unsuccessful,D4 Chance,
135,136,1,2299.4093933664594,2334.443985032793,D4 Defending the Box,,1st Half,Pass Infront of Backline,Unsuccessful,Chance,Transition
136,137,1,2453.24563078346,2476.310215783126,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Successful,Progress to Next Phase,
137,138,1,2471.9472615327923,2503.9471971581265,O3 Break Through,O3 Break Through,1st Half,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
138,139,1,2472.411004575126,2490.747277657793,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Successful,Progress to Next Phase,
139,140,1,2484.713453075127,2507.5451656581254,O4 Finishing,O4 Finishing,1st Half,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
140,141,1,2506.1114081164596,2529.5121323244593,D3 High Pressing,,1st Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
141,142,1,2537.246424782793,2576.31344365846,D4 Defending the Box,,1st Half,Back Area,Successful,Intercepted by Defence,Lateral Free Kick
142,143,1,2557.545370658126,2574.545370658126,def free kick,,1st Half,,,,
143,144,1,2573.814657866126,2580.34566319946,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
144,145,1,2577.611225991126,2592.8480832827927,D3 High Pressing,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
145,146,1,2580.478668116793,2603.2470436577933,O3 Break Through,O3 Break Through,1st Half,Quick Restart,Unsuccessful,Ball Loss --> D3 Press,Throw In
146,147,1,2591.179819282793,2616.9467230331265,O3 Break Through,O3 Break Through,1st Half,Transition After CP,Unsuccessful,Ball Loss --> D3 Press,Transition
147,148,1,2595.6123256164597,2609.646235199792,D1 Counterpress,,1st Half,After O3/O4,Successful,Direct to O3/O4 OFF Transit,
148,149,1,2609.78030215846,2621.9470999914593,D1 Counterpress,,1st Half,After O3/O4,Successful,"Intercept. -> Estab. (O1, O2, O3)",
149,150,1,2619.2797435327934,2667.982080575126,O2 Build Up,O2 Build Up,1st Half,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
150,151,1,2659.446728700126,2672.836328616793,D1 Counterpress,,1st Half,After O3/O4,Neutral,Establishing Pressing,
151,152,1,2664.2138250751254,2685.04526711646,D2 Finding Balance,,1st Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
152,153,1,2723.647870282793,2771.949590575126,D4 Defending the Box,,1st Half,Close Range 16-20 m.,Neutral,"Cross, Shot, Set-Piece or Box Entry",Direct Free Kick
153,154,1,2751.848815491792,2768.848815491792,def free kick,,1st Half,,,,
154,155,1,2767.916231324793,2801.0158811994597,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Neutral,Stay In Phase,
155,156,1,2800.8144030334597,2810.1829281994596,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Neutral, ,
156,157,1,2806.1808444914595,2823.3145857417926,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
157,158,1,2819.4477316167927,2848.5068229501258,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
158,159,1,2850.048364741793,2870.54768644946,D3 Middle / Lower Pressing,,1st Half,D3 Press on Throw-In,Neutral,Stay In Phase,
159,160,1,2866.3147020331267,2880.548052949793,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,"Intercept. -> Estab. (O1, O2, O3)",
160,161,1,2980.4266666666667,2994.4808651855233,D3 Middle / Lower Pressing,,2nd Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
161,162,1,2990.882480436189,3000.4838436855243,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
162,163,1,2996.7851134765233,3014.281029018855,D3 High Pressing,,2nd Half,After Ball Loss,Neutral,Stay In Phase,
163,164,1,3011.8839254355225,3036.5801418835226,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Neutral,Stay In Phase,
164,165,1,3032.3831242581896,3047.7840912125234,D3 High Pressing,,2nd Half,D3 From Low/Med to High,Neutral,Stay In Phase,
165,166,1,3036.184468074189,3063.7841821348557,O3 Break Through,O3 Break Through,2nd Half,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,Transition
166,167,1,3043.5830186725225,3055.381052865857,D3 Middle / Lower Pressing,,2nd Half,D3 From High to Med/Low,Successful,Direct to O3/O4 OFF Transit,
167,168,1,3067.3832495898555,3100.5832304725227,D3 High Pressing,,2nd Half,D3 Press on Throw-In,Neutral,Stay In Phase,
168,169,1,3097.7839331621904,3118.78463574119,D3 High Pressing,,2nd Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
169,170,1,3110.082946823856,3126.9810978235246,D2 Finding Balance,,2nd Half,D3 High Press on Opp. Half,Neutral,Establishing Pressing,
170,171,1,3122.6838174491904,3139.182354532857,D3 Middle / Lower Pressing,,2nd Half,D3 From High to Med/Low,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
171,172,1,3123.884323865524,3142.5831132405224,D4 Defending the Box,,2nd Half,Chipball,Successful,Intercepted by Defence,Established Play
172,173,1,3138.5764363645235,3164.8827170531904,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Neutral,Stay In Phase,
173,174,1,3160.482500802525,3187.083534953857,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Neutral,Stay In Phase,
174,175,1,3182.6841100781894,3191.784049667525,O1 Play from the Back,O1 Play from the Back,2nd Half,O2 to O1,Successful,Progress to Next Phase,
175,176,1,3187.7843751261917,3205.285033375525,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
176,177,1,3203.3837375005232,3225.7841674798565,D3 High Pressing,,2nd Half,After Ball Loss,Neutral,Stay In Phase,
177,178,1,3221.682944562522,3279.082696361523,D3 Middle / Lower Pressing,,2nd Half,D3 From High to Med/Low,Successful,Direct to O3/O4 OFF Transit,
178,179,1,3259.8842783195237,3284.8833395705246,O3 Break Through,O3 Break Through,2nd Half,After D4 Def. Box,Unsuccessful,Ball Loss --> D3 Press,Transition
179,180,1,3293.8817901818566,3309.98350041419,D3 High Pressing,,2nd Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
180,181,1,3325.48387656619,3350.38559279219,O2 Build Up,O2 Build Up,2nd Half,O2 Throw-In,Neutral,Stay In Phase,
181,182,1,3346.184308542191,3363.7840117175233,O1 Play from the Back,O1 Play from the Back,2nd Half,O2 to O1,Successful,Progress to Next Phase,
182,183,1,3356.9822767315245,3373.7833304818555,D2 Finding Balance,,2nd Half,Transition on Transition,Unsuccessful,D4 Chance,
183,184,1,3358.5835746901894,3378.0798973158567,D4 Defending the Box,,2nd Half,Through Pass,Unsuccessful,Chance,Transition
184,185,1,3359.4838294261904,3368.8837704668567,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
185,186,1,3388.4853413578567,3412.585069887524,D3 Middle / Lower Pressing,,2nd Half,D3 Press on Throw-In,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
186,187,1,3397.2834288035237,3416.486258386857,D4 Defending the Box,,2nd Half,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
187,188,1,3412.184449096191,3430.074457225523,O1 Play from the Back,O1 Play from the Back,2nd Half,O1 After Regain,Neutral,Stay In Phase,
188,189,1,3425.6844199748584,3441.8820810175225,O2 Build Up,O2 Build Up,2nd Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
189,190,1,3433.5830569355226,3449.481970601858,D2 Finding Balance,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
190,191,1,3434.1847626441913,3452.983908602525,D4 Defending the Box,,2nd Half,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
191,192,1,3450.2840377275243,3471.479637337856,D3 Middle / Lower Pressing,,2nd Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
